,months,year,state,brand,customers,value,age_group,gender,vip_band
10197,Nov,19,VIC,Grapefruit,52,3430,45-54,F,Group A
10198,Nov,19,VIC,Grapefruit,52,857,45-54,F,Group B
10199,Nov,19,VIC,Grapefruit,71,6229,45-54,M,Group A
10200,Nov,19,VIC,Grapefruit,71,302418,45-54,M,Group D
10201,Nov,19,VIC,Grapefruit,1842,317838,65+,F,Group A
10202,Nov,19,VIC,Grapefruit,502,179488,65+,F,Group B
10203,Nov,19,VIC,Grapefruit,334,375994,65+,F,Group C
10204,Nov,19,VIC,Grapefruit,168,140719,65+,F,Group D
10205,Nov,19,VIC,Grapefruit,2453,452018,65+,M,Group A
10206,Nov,19,VIC,Grapefruit,639,413817,65+,M,Group B
10207,Nov,19,VIC,Grapefruit,107,204332,65+,M,Group C
10208,Nov,19,VIC,Grapefruit,320,582614,65+,M,Group D
10209,Nov,19,VIC,Grapefruit,107,17768,65+,M,Group E
10210,Nov,19,WA,Apple,218,35860,18-24,F,Group A
10211,Nov,19,WA,Apple,66,46795,18-24,F,Group B
10212,Nov,19,WA,Apple,43,51556,18-24,F,Group C
10213,Nov,19,WA,Apple,21,19984,18-24,F,Group D
10214,Nov,19,WA,Apple,21,1816,18-24,F,Group E
10215,Nov,19,WA,Apple,710,79894,18-24,M,Group A
10216,Nov,19,WA,Apple,83,21134,18-24,M,Group B
10217,Nov,19,WA,Apple,83,53007,18-24,M,Group C
10218,Nov,19,WA,Apple,125,302350,18-24,M,Group D
10219,Nov,19,WA,Apple,104,370388,18-24,M,Group E
10220,Nov,19,WA,Apple,807,82728,25-34,F,Group A
10221,Nov,19,WA,Apple,66,41781,25-34,F,Group B
10222,Nov,19,WA,Apple,21,18165,25-34,F,Group C
10223,Nov,19,WA,Apple,1402,258166,25-34,M,Group A
10224,Nov,19,WA,Apple,502,255481,25-34,M,Group B
10225,Nov,19,WA,Apple,419,607593,25-34,M,Group C
10226,Nov,19,WA,Apple,294,403099,25-34,M,Group D
10227,Nov,19,WA,Apple,147,489199,25-34,M,Group E
10228,Nov,19,WA,Apple,793,89885,35-44,F,Group A
10229,Nov,19,WA,Apple,47,23035,35-44,F,Group B
10230,Nov,19,WA,Apple,140,402732,35-44,F,Group C
10231,Nov,19,WA,Apple,47,160549,35-44,F,Group D
10232,Nov,19,WA,Apple,47,478609,35-44,F,Group E
10233,Nov,19,WA,Apple,1465,179685,35-44,M,Group A
10234,Nov,19,WA,Apple,459,242264,35-44,M,Group B
10235,Nov,19,WA,Apple,336,560494,35-44,M,Group C
10236,Nov,19,WA,Apple,154,462631,35-44,M,Group D
10237,Nov,19,WA,Apple,123,959988,35-44,M,Group E
10238,Nov,19,WA,Apple,92,3892,45-54,F,Group A
10239,Nov,19,WA,Apple,182,9929,45-54,M,Group A
10240,Nov,19,WA,Apple,92,51274,45-54,M,Group B
10241,Nov,19,WA,Apple,31,39716,45-54,M,Group C
10242,Nov,19,WA,Apple,31,15275,45-54,M,Group D
10243,Nov,19,WA,Apple,31,453722,45-54,M,Group E
10244,Nov,19,WA,Apple,76,31949,55-64,M,Group B
10245,Nov,19,WA,Apple,765,83214,65+,F,Group A
10246,Nov,19,WA,Apple,109,122180,65+,F,Group B
10247,Nov,19,WA,Apple,163,198293,65+,F,Group C
10248,Nov,19,WA,Apple,109,98235,65+,F,Group D
10249,Nov,19,WA,Apple,1840,173674,65+,M,Group A
10250,Nov,19,WA,Apple,613,447924,65+,M,Group B
10251,Nov,19,WA,Apple,308,600767,65+,M,Group C
10252,Nov,19,WA,Apple,230,510544,65+,M,Group D
10253,Nov,19,WA,Apple,76,2557,65+,M,Group E
10254,Nov,19,WA,Orange,784,94899,18-24,F,Group A
10255,Nov,19,WA,Orange,175,132611,18-24,F,Group B
10256,Nov,19,WA,Orange,130,123747,18-24,F,Group C
10257,Nov,19,WA,Orange,109,326985,18-24,F,Group D
10258,Nov,19,WA,Orange,66,357287,18-24,F,Group E
10259,Nov,19,WA,Orange,1359,159474,18-24,M,Group A
10260,Nov,19,WA,Orange,334,209657,18-24,M,Group B
10261,Nov,19,WA,Orange,147,138342,18-24,M,Group C
10262,Nov,19,WA,Orange,189,319926,18-24,M,Group D
10263,Nov,19,WA,Orange,104,778298,18-24,M,Group E
10264,Nov,19,WA,Orange,1394,183402,25-34,F,Group A
10265,Nov,19,WA,Orange,109,54316,25-34,F,Group B
10266,Nov,19,WA,Orange,130,291890,25-34,F,Group C
10267,Nov,19,WA,Orange,43,80801,25-34,F,Group D
10268,Nov,19,WA,Orange,43,157679,25-34,F,Group E
10269,Nov,19,WA,Orange,2218,330596,25-34,M,Group A
10270,Nov,19,WA,Orange,838,484457,25-34,M,Group B
10271,Nov,19,WA,Orange,502,492094,25-34,M,Group C
10272,Nov,19,WA,Orange,208,418024,25-34,M,Group D
10273,Nov,19,WA,Orange,294,1244168,25-34,M,Group E
10274,Nov,19,WA,Orange,1075,124904,35-44,F,Group A
10275,Nov,19,WA,Orange,47,779,35-44,F,Group B
10276,Nov,19,WA,Orange,47,31130,35-44,F,Group C
10277,Nov,19,WA,Orange,92,261717,35-44,F,Group D
10278,Nov,19,WA,Orange,92,1333567,35-44,F,Group E
10279,Nov,19,WA,Orange,2872,320217,35-44,M,Group A
10280,Nov,19,WA,Orange,611,405502,35-44,M,Group B
10281,Nov,19,WA,Orange,429,559680,35-44,M,Group C
10282,Nov,19,WA,Orange,182,515432,35-44,M,Group D
10283,Nov,19,WA,Orange,244,1476644,35-44,M,Group E
10284,Nov,19,WA,Orange,561,59456,45-54,F,Group A
10285,Nov,19,WA,Orange,459,74033,45-54,M,Group A
10286,Nov,19,WA,Orange,92,51172,45-54,M,Group B
10287,Nov,19,WA,Orange,92,101377,45-54,M,Group C
10288,Nov,19,WA,Orange,230,15336,55-64,M,Group A
10289,Nov,19,WA,Orange,76,19169,55-64,M,Group B
10290,Nov,19,WA,Orange,76,121150,55-64,M,Group C
10291,Nov,19,WA,Orange,2732,321017,65+,F,Group A
10292,Nov,19,WA,Orange,109,38419,65+,F,Group B
10293,Nov,19,WA,Orange,272,75929,65+,F,Group C
10294,Nov,19,WA,Orange,218,531510,65+,F,Group D
10295,Nov,19,WA,Orange,2914,349649,65+,M,Group A
10296,Nov,19,WA,Orange,921,424411,65+,M,Group B
10297,Nov,19,WA,Orange,459,273995,65+,M,Group C
10298,Nov,19,WA,Orange,384,807796,65+,M,Group D
10299,Nov,19,WA,Orange,230,922175,65+,M,Group E
10300,Nov,19,WA,Pear,653,83673,18-24,F,Group A
10301,Nov,19,WA,Pear,88,57730,18-24,F,Group B
10302,Nov,19,WA,Pear,66,90356,18-24,F,Group C
10303,Nov,19,WA,Pear,109,128288,18-24,F,Group D
10304,Nov,19,WA,Pear,43,159315,18-24,F,Group E
10305,Nov,19,WA,Pear,1004,104549,18-24,M,Group A
10306,Nov,19,WA,Pear,272,78604,18-24,M,Group B
10307,Nov,19,WA,Pear,251,317797,18-24,M,Group C
10308,Nov,19,WA,Pear,230,234172,18-24,M,Group D
10309,Nov,19,WA,Pear,125,704575,18-24,M,Group E
10310,Nov,19,WA,Pear,1439,180715,25-34,F,Group A
10311,Nov,19,WA,Pear,88,22488,25-34,F,Group B
10312,Nov,19,WA,Pear,43,3634,25-34,F,Group D
10313,Nov,19,WA,Pear,43,545340,25-34,F,Group E
10314,Nov,19,WA,Pear,1946,249238,25-34,M,Group A
10315,Nov,19,WA,Pear,857,323169,25-34,M,Group B
10316,Nov,19,WA,Pear,545,564874,25-34,M,Group C
10317,Nov,19,WA,Pear,355,907781,25-34,M,Group D
10318,Nov,19,WA,Pear,189,1870870,25-34,M,Group E
10319,Nov,19,WA,Pear,1494,179692,35-44,F,Group A
10320,Nov,19,WA,Pear,187,131519,35-44,F,Group B
10321,Nov,19,WA,Pear,47,64203,35-44,F,Group C
10322,Nov,19,WA,Pear,92,264987,35-44,F,Group D
10323,Nov,19,WA,Pear,2810,445268,35-44,M,Group A
10324,Nov,19,WA,Pear,429,173577,35-44,M,Group B
10325,Nov,19,WA,Pear,429,432337,35-44,M,Group C
10326,Nov,19,WA,Pear,182,2776859,35-44,M,Group E
10327,Nov,19,WA,Pear,653,108953,45-54,F,Group A
10328,Nov,19,WA,Pear,92,166306,45-54,F,Group C
10329,Nov,19,WA,Pear,47,67707,45-54,F,Group D
10330,Nov,19,WA,Pear,459,57792,45-54,M,Group A
10331,Nov,19,WA,Pear,123,60541,45-54,M,Group B
10332,Nov,19,WA,Pear,31,7076,45-54,M,Group C
10333,Nov,19,WA,Pear,31,165480,45-54,M,Group E
10334,Nov,19,WA,Pear,2786,239080,65+,F,Group A
10335,Nov,19,WA,Pear,272,96869,65+,F,Group B
10336,Nov,19,WA,Pear,109,138202,65+,F,Group C
10337,Nov,19,WA,Pear,272,570386,65+,F,Group D
10338,Nov,19,WA,Pear,109,806461,65+,F,Group E
10339,Nov,19,WA,Pear,2760,457127,65+,M,Group A
10340,Nov,19,WA,Pear,613,412524,65+,M,Group B
10341,Nov,19,WA,Pear,384,698659,65+,M,Group C
10342,Nov,19,WA,Pear,230,426070,65+,M,Group D
10343,Nov,19,WA,Pear,154,79234,65+,M,Group E
10344,Nov,19,WA,Banana,284,34588,18-24,F,Group A
10345,Nov,19,WA,Banana,109,74662,18-24,F,Group B
10346,Nov,19,WA,Banana,66,114518,18-24,F,Group D
10347,Nov,19,WA,Banana,43,19984,18-24,F,Group E
10348,Nov,19,WA,Banana,502,90217,18-24,M,Group A
10349,Nov,19,WA,Banana,208,76372,18-24,M,Group B
10350,Nov,19,WA,Banana,125,91994,18-24,M,Group C
10351,Nov,19,WA,Banana,147,335932,18-24,M,Group D
10352,Nov,19,WA,Banana,83,141027,18-24,M,Group E
10353,Nov,19,WA,Banana,305,30010,25-34,F,Group A
10354,Nov,19,WA,Banana,152,117423,25-34,F,Group B
10355,Nov,19,WA,Banana,43,44326,25-34,F,Group C
10356,Nov,19,WA,Banana,43,166837,25-34,F,Group D
10357,Nov,19,WA,Banana,900,122963,25-34,M,Group A
10358,Nov,19,WA,Banana,440,165786,25-34,M,Group B
10359,Nov,19,WA,Banana,315,307650,25-34,M,Group C
10360,Nov,19,WA,Banana,272,529687,25-34,M,Group D
10361,Nov,19,WA,Banana,230,1574728,25-34,M,Group E
10362,Nov,19,WA,Banana,653,104904,35-44,F,Group A
10363,Nov,19,WA,Banana,47,1946,35-44,F,Group B
10364,Nov,19,WA,Banana,92,169498,35-44,F,Group C
10365,Nov,19,WA,Banana,855,139512,35-44,M,Group A
10366,Nov,19,WA,Banana,398,203719,35-44,M,Group B
10367,Nov,19,WA,Banana,213,173219,35-44,M,Group C
10368,Nov,19,WA,Banana,154,470219,35-44,M,Group D
10369,Nov,19,WA,Banana,123,573885,35-44,M,Group E
10370,Nov,19,WA,Banana,47,1555,45-54,F,Group A
10371,Nov,19,WA,Banana,47,2334,45-54,F,Group B
10372,Nov,19,WA,Banana,47,20623,45-54,F,Group D
10373,Nov,19,WA,Banana,213,48270,45-54,M,Group A
10374,Nov,19,WA,Banana,31,3054,45-54,M,Group B
10375,Nov,19,WA,Banana,31,2545,45-54,M,Group D
10376,Nov,19,WA,Banana,31,239309,45-54,M,Group E
10377,Nov,19,WA,Banana,76,31949,55-64,M,Group B
10378,Nov,19,WA,Banana,601,67917,65+,F,Group A
10379,Nov,19,WA,Banana,54,22488,65+,F,Group B
10380,Nov,19,WA,Banana,109,17299,65+,F,Group C
10381,Nov,19,WA,Banana,163,176624,65+,F,Group D
10382,Nov,19,WA,Banana,54,22761,65+,F,Group E
10383,Nov,19,WA,Banana,843,122045,65+,M,Group A
10384,Nov,19,WA,Banana,308,115143,65+,M,Group B
10385,Nov,19,WA,Banana,230,216615,65+,M,Group C
10386,Nov,19,WA,Banana,76,8819,65+,M,Group D
10387,Nov,19,WA,Strawberry,175,30483,18-24,F,Group A
10388,Nov,19,WA,Strawberry,21,909,18-24,F,Group B
10389,Nov,19,WA,Strawberry,21,18130,18-24,F,Group C
10390,Nov,19,WA,Strawberry,21,2180,18-24,F,Group E
10391,Nov,19,WA,Strawberry,147,17680,18-24,M,Group A
10392,Nov,19,WA,Strawberry,43,3452,18-24,M,Group B
10393,Nov,19,WA,Strawberry,125,122404,18-24,M,Group C
10394,Nov,19,WA,Strawberry,43,26504,18-24,M,Group D
10395,Nov,19,WA,Strawberry,104,1561929,18-24,M,Group E
10396,Nov,19,WA,Strawberry,66,1707,25-34,F,Group A
10397,Nov,19,WA,Strawberry,66,20164,25-34,F,Group B
10398,Nov,19,WA,Strawberry,21,10935,25-34,F,Group C
10399,Nov,19,WA,Strawberry,21,909,25-34,F,Group D
10400,Nov,19,WA,Strawberry,21,45379,25-34,F,Group E
10401,Nov,19,WA,Strawberry,294,28246,25-34,M,Group A
10402,Nov,19,WA,Strawberry,168,100434,25-34,M,Group B
10403,Nov,19,WA,Strawberry,208,198393,25-34,M,Group C
10404,Nov,19,WA,Strawberry,147,266743,25-34,M,Group D
10405,Nov,19,WA,Strawberry,64,196023,25-34,M,Group E
10406,Nov,19,WA,Strawberry,140,17510,35-44,F,Group A
10407,Nov,19,WA,Strawberry,92,50351,35-44,F,Group B
10408,Nov,19,WA,Strawberry,47,9728,35-44,F,Group C
10409,Nov,19,WA,Strawberry,47,54475,35-44,F,Group E
10410,Nov,19,WA,Strawberry,275,14969,35-44,M,Group A
10411,Nov,19,WA,Strawberry,154,32690,35-44,M,Group B
10412,Nov,19,WA,Strawberry,62,2341,35-44,M,Group C
10413,Nov,19,WA,Strawberry,31,25460,35-44,M,Group D
10414,Nov,19,WA,Strawberry,62,449596,35-44,M,Group E
10415,Nov,19,WA,Strawberry,47,1946,45-54,F,Group B
10416,Nov,19,WA,Strawberry,31,9216,45-54,M,Group A
10417,Nov,19,WA,Strawberry,31,1274,45-54,M,Group B
10418,Nov,19,WA,Strawberry,92,283301,45-54,M,Group D
10419,Nov,19,WA,Strawberry,31,93330,45-54,M,Group E
10420,Nov,19,WA,Strawberry,218,12199,65+,F,Group A
10421,Nov,19,WA,Strawberry,163,93682,65+,F,Group C
10422,Nov,19,WA,Strawberry,54,2732,65+,F,Group D
10423,Nov,19,WA,Strawberry,230,21343,65+,M,Group A
10424,Nov,19,WA,Strawberry,230,41535,65+,M,Group B
10425,Nov,19,WA,Strawberry,76,51118,65+,M,Group C
10426,Nov,19,WA,Strawberry,154,276166,65+,M,Group D
10427,Nov,19,WA,Melon,4579,475875,18-24,F,Group A
10428,Nov,19,WA,Melon,260,245275,18-24,F,Group B
10429,Nov,19,WA,Melon,239,346569,18-24,F,Group C
10430,Nov,19,WA,Melon,130,277357,18-24,F,Group D
10431,Nov,19,WA,Melon,43,214865,18-24,F,Group E
10432,Nov,19,WA,Melon,7197,909909,18-24,M,Group A
10433,Nov,19,WA,Melon,1046,823213,18-24,M,Group B
10434,Nov,19,WA,Melon,334,385940,18-24,M,Group C
10435,Nov,19,WA,Melon,355,1088041,18-24,M,Group D
10436,Nov,19,WA,Melon,104,559226,18-24,M,Group E
10437,Nov,19,WA,Melon,9439,965300,25-34,F,Group A
10438,Nov,19,WA,Melon,589,429297,25-34,F,Group B
10439,Nov,19,WA,Melon,175,288039,25-34,F,Group C
10440,Nov,19,WA,Melon,43,77423,25-34,F,Group D
10441,Nov,19,WA,Melon,66,1048535,25-34,F,Group E
10442,Nov,19,WA,Melon,13497,1864386,25-34,M,Group A
10443,Nov,19,WA,Melon,2322,2046597,25-34,M,Group B
10444,Nov,19,WA,Melon,1129,1914777,25-34,M,Group C
10445,Nov,19,WA,Melon,670,2516337,25-34,M,Group D
10446,Nov,19,WA,Melon,334,4335038,25-34,M,Group E
10447,Nov,19,WA,Melon,7145,793556,35-44,F,Group A
10448,Nov,19,WA,Melon,374,339618,35-44,F,Group B
10449,Nov,19,WA,Melon,374,539232,35-44,F,Group C
10450,Nov,19,WA,Melon,140,446625,35-44,F,Group D
10451,Nov,19,WA,Melon,47,147551,35-44,F,Group E
10452,Nov,19,WA,Melon,14602,1871351,35-44,M,Group A
10453,Nov,19,WA,Melon,1252,934988,35-44,M,Group B
10454,Nov,19,WA,Melon,611,741657,35-44,M,Group C
10455,Nov,19,WA,Melon,429,1198840,35-44,M,Group D
10456,Nov,19,WA,Melon,154,9933292,35-44,M,Group E
10457,Nov,19,WA,Melon,2988,343820,45-54,F,Group A
10458,Nov,19,WA,Melon,92,75332,45-54,F,Group B
10459,Nov,19,WA,Melon,92,267709,45-54,F,Group D
10460,Nov,19,WA,Melon,2933,370116,45-54,M,Group A
10461,Nov,19,WA,Melon,367,280247,45-54,M,Group B
10462,Nov,19,WA,Melon,123,190684,45-54,M,Group C
10463,Nov,19,WA,Melon,31,154533,45-54,M,Group E
10464,Nov,19,WA,Melon,54,2275,55-64,F,Group A
10465,Nov,19,WA,Melon,1072,158851,55-64,M,Group A
10466,Nov,19,WA,Melon,384,438850,55-64,M,Group B
10467,Nov,19,WA,Melon,76,12780,55-64,M,Group C
10468,Nov,19,WA,Melon,14586,1576868,65+,F,Group A
10469,Nov,19,WA,Melon,656,489357,65+,F,Group B
10470,Nov,19,WA,Melon,547,884211,65+,F,Group C
10471,Nov,19,WA,Melon,163,247273,65+,F,Group D
10472,Nov,19,WA,Melon,272,2729017,65+,F,Group E
10473,Nov,19,WA,Melon,14875,1860579,65+,M,Group A
10474,Nov,19,WA,Melon,2914,2153999,65+,M,Group B
10475,Nov,19,WA,Melon,997,1103517,65+,M,Group C
10476,Nov,19,WA,Melon,613,1443071,65+,M,Group D
10477,Nov,19,WA,Melon,459,2945310,65+,M,Group E
10478,Nov,19,WA,Blueberry,895,122546,18-24,F,Group A
10479,Nov,19,WA,Blueberry,152,76552,18-24,F,Group B
10480,Nov,19,WA,Blueberry,66,88467,18-24,F,Group C
10481,Nov,19,WA,Blueberry,66,117170,18-24,F,Group D
10482,Nov,19,WA,Blueberry,43,13916,18-24,F,Group E
10483,Nov,19,WA,Blueberry,1276,180154,18-24,M,Group A
10484,Nov,19,WA,Blueberry,168,125264,18-24,M,Group B
10485,Nov,19,WA,Blueberry,168,226918,18-24,M,Group C
10486,Nov,19,WA,Blueberry,125,252238,18-24,M,Group D
10487,Nov,19,WA,Blueberry,104,267162,18-24,M,Group E
10488,Nov,19,WA,Blueberry,1570,218246,25-34,F,Group A
10489,Nov,19,WA,Blueberry,175,143657,25-34,F,Group B
10490,Nov,19,WA,Blueberry,21,7266,25-34,F,Group C
10491,Nov,19,WA,Blueberry,66,287894,25-34,F,Group D
10492,Nov,19,WA,Blueberry,43,91301,25-34,F,Group E
10493,Nov,19,WA,Blueberry,1925,247354,25-34,M,Group A
10494,Nov,19,WA,Blueberry,376,203345,25-34,M,Group B
10495,Nov,19,WA,Blueberry,272,382280,25-34,M,Group C
10496,Nov,19,WA,Blueberry,125,122719,25-34,M,Group D
10497,Nov,19,WA,Blueberry,83,826980,25-34,M,Group E
10498,Nov,19,WA,Blueberry,1215,121869,35-44,F,Group A
10499,Nov,19,WA,Blueberry,47,7782,35-44,F,Group B
10500,Nov,19,WA,Blueberry,47,2256,35-44,F,Group C
10501,Nov,19,WA,Blueberry,1771,199950,35-44,M,Group A
10502,Nov,19,WA,Blueberry,213,159524,35-44,M,Group B
10503,Nov,19,WA,Blueberry,244,322151,35-44,M,Group C
10504,Nov,19,WA,Blueberry,154,99798,35-44,M,Group D
10505,Nov,19,WA,Blueberry,92,1275115,35-44,M,Group E
10506,Nov,19,WA,Blueberry,561,98211,45-54,F,Group A
10507,Nov,19,WA,Blueberry,92,17510,45-54,F,Group B
10508,Nov,19,WA,Blueberry,92,52998,45-54,F,Group C
10509,Nov,19,WA,Blueberry,734,126784,45-54,M,Group A
10510,Nov,19,WA,Blueberry,182,142364,45-54,M,Group B
10511,Nov,19,WA,Blueberry,31,39409,45-54,M,Group C
10512,Nov,19,WA,Blueberry,31,173118,45-54,M,Group D
10513,Nov,19,WA,Blueberry,31,25460,45-54,M,Group E
10514,Nov,19,WA,Blueberry,76,44728,55-64,M,Group A
10515,Nov,19,WA,Blueberry,4972,613630,65+,F,Group A
10516,Nov,19,WA,Blueberry,438,334675,65+,F,Group B
10517,Nov,19,WA,Blueberry,163,128098,65+,F,Group C
10518,Nov,19,WA,Blueberry,327,524864,65+,F,Group D
10519,Nov,19,WA,Blueberry,163,824032,65+,F,Group E
10520,Nov,19,WA,Blueberry,5675,737125,65+,M,Group A
10521,Nov,19,WA,Blueberry,1226,924220,65+,M,Group B
10522,Nov,19,WA,Blueberry,537,648692,65+,M,Group C
10523,Nov,19,WA,Blueberry,689,841663,65+,M,Group D
10524,Nov,19,WA,Blueberry,308,982495,65+,M,Group E
10525,Nov,19,WA,Grapefruit,1721,176392,18-24,F,Group A
10526,Nov,19,WA,Grapefruit,130,112411,18-24,F,Group B
10527,Nov,19,WA,Grapefruit,152,298176,18-24,F,Group C
10528,Nov,19,WA,Grapefruit,21,21291,18-24,F,Group D
10529,Nov,19,WA,Grapefruit,1967,273266,18-24,M,Group A
10530,Nov,19,WA,Grapefruit,315,195185,18-24,M,Group B
10531,Nov,19,WA,Grapefruit,334,467508,18-24,M,Group C
10532,Nov,19,WA,Grapefruit,168,193056,18-24,M,Group D
10533,Nov,19,WA,Grapefruit,104,483933,18-24,M,Group E
10534,Nov,19,WA,Grapefruit,5777,674101,25-34,F,Group A
10535,Nov,19,WA,Grapefruit,260,213959,25-34,F,Group B
10536,Nov,19,WA,Grapefruit,88,116152,25-34,F,Group C
10537,Nov,19,WA,Grapefruit,21,3634,25-34,F,Group D
10538,Nov,19,WA,Grapefruit,43,464139,25-34,F,Group E
10539,Nov,19,WA,Grapefruit,6738,1173374,25-34,M,Group A
10540,Nov,19,WA,Grapefruit,1444,1072139,25-34,M,Group B
10541,Nov,19,WA,Grapefruit,817,1036812,25-34,M,Group C
10542,Nov,19,WA,Grapefruit,440,980805,25-34,M,Group D
10543,Nov,19,WA,Grapefruit,251,1146418,25-34,M,Group E
10544,Nov,19,WA,Grapefruit,4342,534486,35-44,F,Group A
10545,Nov,19,WA,Grapefruit,327,299928,35-44,F,Group B
10546,Nov,19,WA,Grapefruit,140,185061,35-44,F,Group C
10547,Nov,19,WA,Grapefruit,47,183816,35-44,F,Group D
10548,Nov,19,WA,Grapefruit,47,23348,35-44,F,Group E
10549,Nov,19,WA,Grapefruit,5620,894509,35-44,M,Group A
10550,Nov,19,WA,Grapefruit,978,788909,35-44,M,Group B
10551,Nov,19,WA,Grapefruit,429,555861,35-44,M,Group C
10552,Nov,19,WA,Grapefruit,244,561870,35-44,M,Group D
10553,Nov,19,WA,Grapefruit,92,103361,35-44,M,Group E
10554,Nov,19,WA,Grapefruit,2569,357907,45-54,F,Group A
10555,Nov,19,WA,Grapefruit,140,163428,45-54,F,Group B
10556,Nov,19,WA,Grapefruit,47,129185,45-54,F,Group C
10557,Nov,19,WA,Grapefruit,92,217903,45-54,F,Group D
10558,Nov,19,WA,Grapefruit,2076,344045,45-54,M,Group A
10559,Nov,19,WA,Grapefruit,244,217671,45-54,M,Group B
10560,Nov,19,WA,Grapefruit,182,357642,45-54,M,Group C
10561,Nov,19,WA,Grapefruit,123,353771,45-54,M,Group D
10562,Nov,19,WA,Grapefruit,62,522816,45-54,M,Group E
10563,Nov,19,WA,Grapefruit,537,113100,55-64,M,Group A
10564,Nov,19,WA,Grapefruit,76,113993,55-64,M,Group B
10565,Nov,19,WA,Grapefruit,154,353993,55-64,M,Group C
10566,Nov,19,WA,Grapefruit,76,695465,55-64,M,Group E
10567,Nov,19,WA,Grapefruit,9614,1406797,65+,F,Group A
10568,Nov,19,WA,Grapefruit,928,896320,65+,F,Group B
10569,Nov,19,WA,Grapefruit,384,523044,65+,F,Group C
10570,Nov,19,WA,Grapefruit,54,1821,65+,F,Group D
10571,Nov,19,WA,Grapefruit,7744,1296233,65+,M,Group A
10572,Nov,19,WA,Grapefruit,1610,1377640,65+,M,Group B
10573,Nov,19,WA,Grapefruit,230,196679,65+,M,Group C
10574,Nov,19,WA,Grapefruit,76,152715,65+,M,Group D
10575,Nov,19,WA,Grapefruit,154,668117,65+,M,Group E
10576,Nov,19,NSW,Apple,1510,254601,18-24,F,Group A
10577,Nov,19,NSW,Apple,225,129867,18-24,F,Group B
10578,Nov,19,NSW,Apple,393,538496,18-24,F,Group C
10579,Nov,19,NSW,Apple,140,373738,18-24,F,Group D
10580,Nov,19,NSW,Apple,111,950719,18-24,F,Group E
10581,Nov,19,NSW,Apple,1243,176399,18-24,M,Group A
10582,Nov,19,NSW,Apple,357,296043,18-24,M,Group B
10583,Nov,19,NSW,Apple,379,621499,18-24,M,Group C
10584,Nov,19,NSW,Apple,357,834958,18-24,M,Group D
10585,Nov,19,NSW,Apple,85,745215,18-24,M,Group E
10586,Nov,19,NSW,Apple,1428,217143,25-34,F,Group A
10587,Nov,19,NSW,Apple,308,160000,25-34,F,Group B
10588,Nov,19,NSW,Apple,336,521190,25-34,F,Group C
10589,Nov,19,NSW,Apple,168,287395,25-34,F,Group D
10590,Nov,19,NSW,Apple,83,249049,25-34,F,Group E
10591,Nov,19,NSW,Apple,5369,877146,25-34,M,Group A
10592,Nov,19,NSW,Apple,1664,1213760,25-34,M,Group B
10593,Nov,19,NSW,Apple,779,1219447,25-34,M,Group C
10594,Nov,19,NSW,Apple,822,2028223,25-34,M,Group D
10595,Nov,19,NSW,Apple,547,2735007,25-34,M,Group E
10596,Nov,19,NSW,Apple,708,129137,35-44,F,Group A
10597,Nov,19,NSW,Apple,303,156583,35-44,F,Group B
10598,Nov,19,NSW,Apple,563,67520,35-44,M,Group A
10599,Nov,19,NSW,Apple,492,339237,35-44,M,Group B
10600,Nov,19,NSW,Apple,282,212990,35-44,M,Group C
10601,Nov,19,NSW,Apple,282,745172,35-44,M,Group E
10602,Nov,19,NSW,Apple,303,45796,45-54,F,Group A
10603,Nov,19,NSW,Apple,102,135032,45-54,F,Group B
10604,Nov,19,NSW,Apple,201,633739,45-54,F,Group D
10605,Nov,19,NSW,Apple,102,101022,45-54,F,Group E
10606,Nov,19,NSW,Apple,1477,233151,45-54,M,Group A
10607,Nov,19,NSW,Apple,492,288597,45-54,M,Group B
10608,Nov,19,NSW,Apple,282,731107,45-54,M,Group C
10609,Nov,19,NSW,Apple,71,9377,45-54,M,Group D
10610,Nov,19,NSW,Apple,215,28800,55-64,F,Group A
10611,Nov,19,NSW,Apple,1096,169351,55-64,M,Group A
10612,Nov,19,NSW,Apple,85,1406,55-64,M,Group B
10613,Nov,19,NSW,Apple,168,450997,55-64,M,Group D
10614,Nov,19,NSW,Apple,85,98380,55-64,M,Group E
10615,Nov,19,NSW,Apple,2017,200279,65+,F,Group A
10616,Nov,19,NSW,Apple,360,177718,65+,F,Group B
10617,Nov,19,NSW,Apple,289,187798,65+,F,Group C
10618,Nov,19,NSW,Apple,71,192358,65+,F,Group D
10619,Nov,19,NSW,Apple,71,4799,65+,F,Group E
10620,Nov,19,NSW,Apple,3374,697224,65+,M,Group A
10621,Nov,19,NSW,Apple,1181,683453,65+,M,Group B
10622,Nov,19,NSW,Apple,675,1202190,65+,M,Group C
10623,Nov,19,NSW,Apple,421,2031241,65+,M,Group D
10624,Nov,19,NSW,Apple,507,359083,65+,M,Group E
10625,Nov,19,NSW,Orange,2154,217889,18-24,F,Group A
10626,Nov,19,NSW,Orange,225,83313,18-24,F,Group B
10627,Nov,19,NSW,Orange,196,122262,18-24,F,Group C
10628,Nov,19,NSW,Orange,196,112653,18-24,F,Group D
10629,Nov,19,NSW,Orange,168,947687,18-24,F,Group E
10630,Nov,19,NSW,Orange,2254,291796,18-24,M,Group A
10631,Nov,19,NSW,Orange,568,222129,18-24,M,Group B
10632,Nov,19,NSW,Orange,336,260384,18-24,M,Group C
